name,flavor,texture,nutrition_tags,ingredients,prep_time,difficulty
Bulgur Wheat Tabouli,Salty,Crunchy,"gluten-free, low-fat","spinach, chicken, yogurt, blueberries",10 min,Hard
Herbed Chicken Breast,Salty,Soft,"gluten-free, low-sodium","sweet potato, blueberries, spinach, broccoli",30 min,Easy
Turmeric Rice with Veggies,Bitter,Thin,"lactose-free, low-fat","spinach, broccoli, avocado, turmeric",25 min,Hard
Almond Butter Smoothie,Sour,Smooth,"anti-inflammatory, high-protein","yogurt, quinoa, chicken, spinach",5 min,Easy
Grilled Chicken Salad,Umami,Crunchy,"antioxidants, low-sodium","oats, ginger, spinach, pumpkin seeds",20 min,Medium
Quinoa Spinach Pilaf,Bitter,Crunchy,"antioxidants, anti-inflammatory","spinach, turmeric, chicken, sweet potato",20 min,Easy
Baked Tofu Nuggets,Salty,Crunchy,"fiber-rich, lactose-free","pumpkin seeds, spinach, sweet potato, quinoa",25 min,Medium
Black Bean Burrito Bowl,Salty,Thick,"low-fat, low-sodium","carrots, ginger, tofu, brown rice",15 min,Medium
Crispy Baked Falafel,Bitter,Crunchy,"diabetic-friendly, iron-rich","blueberries, tofu, ginger, carrots",30 min,Easy
Quinoa Black Bean Bowl,Sweet,Creamy,"iron-rich, antioxidants","lentils, sweet potato, chicken, broccoli",15 min,Hard
Spinach Banana Waffles,Salty,Thick,"low-sodium, iron-rich","chicken, blueberries, banana, ginger",15 min,Hard
Lentil Shepherd's Pie,Umami,Smooth,"lactose-free, iron-rich","chicken, brown rice, avocado, lentils",5 min,Easy
Asian Chicken Lettuce Cups,Umami,Soft,"hydrating, gluten-free","quinoa, yogurt, ginger, oats",30 min,Medium
Tofu Scramble,Sour,Thin,"diabetic-friendly, low-sodium","chicken, broccoli, banana, blueberries",10 min,Medium
Rainbow Veggie Sushi,Salty,Smooth,"iron-rich, vitamin-C","quinoa, pumpkin seeds, oats, almonds",30 min,Hard
Veggie-Packed Frittata,Sour,Soft,"vitamin-C, fiber-rich","quinoa, turmeric, banana, almonds",20 min,Easy
Sesame Cucumber Salad,Salty,Soft,"diabetic-friendly, vitamin-C","turmeric, lentils, chicken, spinach",5 min,Medium
Zucchini Avocado Soup,Salty,Crunchy,"vitamin-C, anti-inflammatory","pumpkin seeds, carrots, turmeric, chicken",20 min,Medium
Grilled Lemon Salmon,Sweet,Thin,"low-fat, gluten-free","yogurt, carrots, blueberries, broccoli",5 min,Medium
Mashed Chickpea Sandwich,Sweet,Creamy,"fiber-rich, iron-rich","brown rice, blueberries, banana, oats",15 min,Medium
Chicken Avocado Wrap,Umami,Soft,"diabetic-friendly, fiber-rich","lentils, yogurt, tofu, spinach",5 min,Hard
Pumpkin Seed Energy Balls,Sour,Thin,"fiber-rich, iron-rich","blueberries, broccoli, banana, quinoa",15 min,Hard
Cauliflower Fried Rice,Sour,Smooth,"low-fat, diabetic-friendly","pumpkin seeds, banana, almonds, yogurt",10 min,Easy
Protein Chia Pancakes,Sweet,Crunchy,"anti-inflammatory, iron-rich","oats, almonds, avocado, banana",15 min,Easy
Sweet Potato Chickpea Hash,Sweet,Creamy,"high-protein, iron-rich","chicken, pumpkin seeds, tofu, quinoa",15 min,Easy
Carrot Ginger Soup,Bitter,Creamy,"antioxidants, iron-rich","quinoa, chicken, broccoli, ginger",15 min,Easy
Avocado Tuna Salad,Sweet,Crunchy,"gluten-free, low-sodium","quinoa, sweet potato, almonds, yogurt",5 min,Medium
